,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,10:10,Bears,Thomas Jones 3 yard rush (Doug Brien kick),0,7
1,1.0,9:54,Lions,Roy Williams 51 yard pass from Joey Harrington (Remy Hamilton kick failed),6,7
2,1.0,6:04,Bears,Doug Brien 48 yard field goal,6,10
3,2.0,11:34,Bears,Bobby Wade 73 yard punt return (Doug Brien kick),6,17
4,2.0,1:14,Bears,Muhsin Muhammad 28 yard pass from Kyle Orton (Doug Brien kick),6,24
5,2.0,0:57,Bears,Mike Brown 41 yard interception return (Doug Brien kick),6,31
6,4.0,12:13,Bears,Thomas Jones 16 yard rush (Doug Brien kick),6,38
