,Quarter,Tm,Detail,GNB,PIT
0,1.0,Steelers,Gene Mingo 19 yard field goal,0,3
1,1.0,Steelers,Roy Jefferson 38 yard pass from Terry Hanratty (Gene Mingo kick),0,10
2,2.0,Packers,Don Horn 2 yard rush (Mike Mercer kick),7,10
3,2.0,Packers,Travis Williams 83 yard punt return (Mike Mercer kick),14,10
4,2.0,Steelers,Dick Hoak 3 yard pass from Terry Hanratty (Gene Mingo kick),14,17
5,3.0,Steelers,Erwin Williams 6 yard pass from Terry Hanratty (Gene Mingo kick),14,24
6,3.0,Packers,Mike Mercer 15 yard field goal,17,24
7,3.0,Packers,Travis Williams 96 yard kickoff return (Mike Mercer kick),24,24
8,4.0,Packers,Travis Williams 1 yard rush (Mike Mercer kick),31,24
9,4.0,Steelers,Roy Jefferson 53 yard pass from Dick Shiner (Gene Mingo kick),31,31
10,4.0,Steelers,Gene Mingo 32 yard field goal,31,34
11,4.0,Packers,Carroll Dale 43 yard pass from Bart Starr (Mike Mercer kick),38,34
