,Quarter,Time,Tm,Detail,CAR,DAL
0,1.0,12:34,Cowboys,Billy Cundiff 24 yard field goal,0,3
1,1.0,4:47,Panthers,John Kasay 44 yard field goal,3,3
2,1.0,1:50,Cowboys,Joey Galloway 24 yard pass from Quincy Carter (Billy Cundiff kick),3,10
3,2.0,2:09,Panthers,Stephen Davis 1 yard rush (John Kasay kick),10,10
4,3.0,9:26,Cowboys,Jeff Robinson 5 yard pass from Quincy Carter (Billy Cundiff kick),10,17
5,3.0,7:27,Panthers,Brad Hoover 1 yard pass from Jake Delhomme (John Kasay kick),17,17
6,3.0,4:15,Cowboys,Aveion Cason 16 yard rush (Billy Cundiff kick),17,24
7,4.0,3:47,Panthers,John Kasay 34 yard field goal,20,24
