,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,2:48,Dolphins,Olindo Mare 24 yard field goal,3,0
1,1.0,1:09,Dolphins,Olindo Mare 33 yard field goal,6,0
2,2.0,7:35,Jets,John Hall 28 yard field goal,6,3
3,2.0,0:51,Jets,John Hall 31 yard field goal,6,6
4,3.0,6:43,Dolphins,Stanley Pritchett 1 yard rush (Olindo Mare kick),13,6
5,4.0,14:54,Jets,Keyshawn Johnson 26 yard pass from Ray Lucas (John Hall kick),13,13
6,4.0,9:34,Jets,Keyshawn Johnson 24 yard pass from Ray Lucas,13,19
7,4.0,2:51,Jets,John Hall 46 yard field goal,13,22
8,4.0,1:44,Jets,Omar Stoutmire 67 yard interception return,13,28
9,4.0,0:17,Dolphins,Oronde Gadsden 8 yard pass from Damon Huard (Olindo Mare kick),20,28
