,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,David Hill 5 yard pass from Eric Hipple (Bob Thomas kick),0,7
1,2.0,Bears,Matt Suhey 2 yard rush (John Roveto kick),7,7
2,2.0,Lions,Bob Thomas 38 yard field goal,7,10
3,4.0,Lions,Billy Sims 3 yard rush (Bob Thomas kick),7,17
4,4.0,Bears,John Roveto 42 yard field goal,10,17
