,Quarter,Tm,Detail,WAS,CHI
0,2.0,Bears,Sam Francis 20 yard rush (Joe Maniaci kick),0,7
1,2.0,Bears,Joe Maniaci 1 yard rush (Joe Maniaci kick),0,14
2,2.0,Bears,Jack Manders 32 yard field goal,0,17
3,3.0,Bears,"Safety, Farkas tackled in end zone",0,19
4,4.0,Bears,Jack Manders 3 yard rush,0,25
5,4.0,Bears,Jack Manders 10 yard pass from Ray Buivid,0,31
6,4.0,Redskins,Frank Filchock 5 yard rush (Tillie Manton kick),7,31
