,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Gene Mingo 36 yard field goal,3,0
1,1.0,Steelers,Earl Gros 8 yard pass from Dick Shiner (Gene Mingo kick),10,0
2,1.0,Steelers,Gene Mingo 15 yard field goal,13,0
3,2.0,Eagles,Ben Hawkins 28 yard pass from Norm Snead (Sam Baker kick),13,7
4,2.0,Eagles,Sam Baker 35 yard field goal,13,10
5,2.0,Eagles,Ben Hawkins 28 yard pass from Norm Snead (Sam Baker kick),13,17
6,3.0,Eagles,Ben Hawkins 47 yard pass from Norm Snead (Sam Baker kick),13,24
7,3.0,Eagles,Ben Hawkins 15 yard pass from Norm Snead (Sam Baker kick),13,31
8,3.0,Steelers,Dick Hoak 3 yard rush (Gene Mingo kick),20,31
9,4.0,Steelers,Roy Jefferson 14 yard pass from Dick Shiner (Gene Mingo kick),27,31
10,4.0,Eagles,Sam Baker 41 yard field goal,27,34
11,4.0,Eagles,Harold Jackson 56 yard pass from Norm Snead (Sam Baker kick),27,41
