,Quarter,Time,Tm,Detail,OAK,BAL
0,1.0,,Ravens,Rod Woodson 18 yard interception return (Matt Stover kick),0,7
1,2.0,,Raiders,Greg Davis 23 yard field goal,3,7
2,2.0,0:02,Ravens,Matt Stover 30 yard field goal,3,10
3,4.0,0:02,Raiders,Rickey Dudley 5 yard pass from Donald Hollas (Greg Davis kick),10,10
4,4.0,0:02,Ravens,Matt Stover 30 yard field goal,10,13
