,Quarter,Tm,Detail,FRN,CHI
0,2.0,Yellow Jackets,Herb Joesting 5 yard rush,6,0
1,2.0,Bears,Link Lyman fumble recovery in end zone,6,6
2,3.0,Yellow Jackets,Mort Kaer 84 yard punt return (Cookie Tackwell kick),13,6
3,4.0,Bears,Bronko Nagurski unknown yard rush,13,12
