,Quarter,Tm,Detail,MIN,SFO
0,1.0,Vikings,Chuck Nelson 47 yard field goal,3,0
1,1.0,49ers,Jerry Rice 2 yard pass from Joe Montana (Mike Cofer kick),3,7
2,2.0,49ers,Jerry Rice 4 yard pass from Joe Montana (Mike Cofer kick),3,14
3,2.0,49ers,Jerry Rice 11 yard pass from Joe Montana (Mike Cofer kick),3,21
4,3.0,Vikings,Hassan Jones 5 yard pass from Wade Wilson,9,21
5,4.0,49ers,Roger Craig 4 yard rush (Mike Cofer kick),9,28
6,4.0,49ers,Roger Craig 80 yard rush,9,34
