,Quarter,Tm,Detail,NOR,CIN
0,1.0,Bengals,Chris Bahr 20 yard field goal,0,3
1,2.0,Saints,Mike Strachan 5 yard rush (John Leypoldt kick),7,3
2,2.0,Bengals,Don Bass 12 yard pass from John Reaves (Chris Bahr kick),7,10
3,2.0,Bengals,Chris Bahr 22 yard field goal,7,13
4,2.0,Saints,John Leypoldt 39 yard field goal,10,13
5,4.0,Bengals,Chris Bahr 42 yard field goal,10,16
6,4.0,Bengals,"Safety, center snap out of end zone",10,18
7,4.0,Saints,Mike Strachan 5 yard rush (John Leypoldt kick),17,18
8,4.0,Saints,John Leypoldt 27 yard field goal,20,18
