,Quarter,Tm,Detail,DAL,NOR
0,1.0,Cowboys,Efren Herrera 25 yard field goal,3,0
1,2.0,Cowboys,Scott Laidlaw 10 yard rush (Efren Herrera kick),10,0
2,2.0,Cowboys,Scott Laidlaw 1 yard rush (Efren Herrera kick),17,0
3,3.0,Cowboys,Drew Pearson offensive fumble recovery in end zone (Efren Herrera kick),24,0
4,4.0,Saints,Alvin Maxson 1 yard rush,24,6
