,Quarter,Tm,Detail,BKN,PHI
0,1,Dodgers,Ralph Kercheval 30 yard field goal,3,0
1,2,Dodgers,Ralph Kercheval 47 yard pass from Jack Grossman (Ralph Kercheval kick),10,0
2,3,Eagles,Joe Carter 5 yard pass from Red Kirkman (Red Kirkman kick),10,7
