,Quarter,Tm,Detail,RCH,PRV
0,2.0,Steam Roller,"Safety, Sheard fumble recovery in end zone",0,2
1,2.0,Steam Roller,Jack Spellman blocked punt recovery in end zone,0,8
2,3.0,Steam Roller,Cy Wentworth 19 yard rush,0,14
3,4.0,Steam Roller,Fred Sweet 15 yard field goal,0,17
