,Quarter,Tm,Detail,SEA,KAN
0,2.0,Chiefs,Nick Lowery 25 yard field goal,0,3
1,2.0,Seahawks,Norm Johnson 43 yard field goal,3,3
2,2.0,Chiefs,Nick Lowery 30 yard field goal,3,6
3,3.0,Seahawks,Jeff Chadwick 54 yard pass from Dave Krieg (Norm Johnson kick),10,6
4,3.0,Chiefs,Nick Lowery 24 yard field goal,10,9
5,3.0,Chiefs,Dan Saleaumua defensive fumble recovery in end zone (Nick Lowery kick),10,16
6,4.0,Seahawks,Paul Skansi 25 yard pass from Dave Krieg (Norm Johnson kick),17,16
