,Quarter,Time,Tm,Detail,MIA,BUF
0,2.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),7,0
1,3.0,,Dolphins,Irving Spikes 1 yard rush (Joe Nedney kick),14,0
2,3.0,,Bills,Thurman Thomas 19 yard rush (Steve Christie kick),14,7
3,4.0,,Dolphins,Terrell Buckley 91 yard interception return (Joe Nedney kick),21,7
