,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Paul Hornung 1 yard rush (Paul Hornung kick),0,7
1,1.0,49ers,J.W. Lockett 1 yard rush (Tommy Davis kick),7,7
2,2.0,Packers,Willie Wood 39 yard punt return (Paul Hornung kick),7,14
3,2.0,Packers,Paul Hornung 13 yard field goal,7,17
4,2.0,49ers,Tommy Davis 46 yard field goal,10,17
5,2.0,Packers,Paul Hornung 15 yard field goal,10,20
6,3.0,Packers,Paul Hornung 43 yard field goal,10,23
7,4.0,Packers,Max McGee 21 yard pass from Bart Starr (Paul Hornung kick),10,30
