,Quarter,Tm,Detail,OAK,CIN
0,1.0,Bengals,Sam Wyche 5 yard rush (Horst Muhlmann kick),0,7
1,1.0,Raiders,Fred Biletnikoff 20 yard pass from Daryle Lamonica (George Blanda kick),7,7
2,2.0,Bengals,Essex Johnson 51 yard pass from Sam Wyche (Horst Muhlmann kick),7,14
3,3.0,Bengals,Paul Robinson 3 yard rush (Horst Muhlmann kick),7,21
4,3.0,Raiders,Fred Biletnikoff 18 yard pass from Daryle Lamonica (George Blanda kick),14,21
5,3.0,Raiders,Alvin Wyatt 63 yard punt return (George Blanda kick),21,21
6,3.0,Bengals,Jess Phillips 76 yard rush (Horst Muhlmann kick),21,28
7,4.0,Bengals,Horst Muhlmann 38 yard field goal,21,31
