,Quarter,Time,Tm,Detail,CIN,IND
0,1,,Colts,Flipper Anderson 16 yard pass from Craig Erickson (Mike Cofer kick),0,7
1,1,,Bengals,Doug Pelfrey 25 yard field goal,3,7
2,2,,Bengals,Carl Pickens 3 yard pass from Jeff Blake (Doug Pelfrey kick),10,7
3,2,,Colts,Mike Cofer 27 yard field goal,10,10
4,2,,Bengals,Doug Pelfrey 44 yard field goal,13,10
5,3,,Bengals,Doug Pelfrey 32 yard field goal,16,10
6,3,,Bengals,"Safety, ball snapped out of end zone",18,10
7,3,,Bengals,Doug Pelfrey 38 yard field goal,21,10
8,4,,Colts,Mike Cofer 40 yard field goal,21,13
9,4,,Colts,Flipper Anderson 5 yard pass from Jim Harbaugh (Floyd Turner pass from Jim Harbaugh ),21,21
10,OT,,Bengals,Doug Pelfrey 47 yard field goal,24,21
