,Quarter,Time,Tm,Detail,PIT,MIA
0,1.0,8:09,Steelers,Jeff Reed 40 yard field goal,3,0
1,3.0,8:02,Steelers,Jeff Reed 51 yard field goal,6,0
2,4.0,13:25,Dolphins,Olindo Mare 34 yard field goal,6,3
3,4.0,6:16,Steelers,Hines Ward 7 yard pass from Ben Roethlisberger (Jeff Reed kick),13,3
