,Quarter,Tm,Detail,NYY,POT
0,1.0,Yankees,Bo Molenda 46 yard pass from Wild Bill Kelly,6,0
1,1.0,Maroons,Pete Henry unknown yard field goal,6,3
2,2.0,Yankees,Red Badgro unknown yard pass from Larry Marks,12,3
3,2.0,Maroons,Harlan Carr unknown yard rush (Pete Henry kick),12,10
4,3.0,Maroons,"Safety,",12,12
5,3.0,Yankees,Eddie Tryon 58 yard interception return (Eddie Tryon kick),19,12
