,Quarter,Tm,Detail,SEA,PIT
0,1.0,Seahawks,John Kasay 36 yard field goal,3,0
1,2.0,Seahawks,John Williams 1 yard rush (John Kasay kick),10,0
2,2.0,Seahawks,Jeff Chadwick 14 yard pass from Dave Krieg (John Kasay kick),17,0
3,3.0,Steelers,Dwight Stone 57 yard pass from Neil O'Donnell (Gary Anderson kick),17,7
4,3.0,Seahawks,John Kasay 21 yard field goal,20,7
5,4.0,Seahawks,Mike Tice 1 yard pass from Dave Krieg (John Kasay kick),27,7
