,Quarter,Time,Tm,Detail,SEA,NYJ
0,1.0,10:30,Seahawks,Todd Peterson 25 yard field goal,3,0
1,1.0,4:03,Jets,John Hall 23 yard field goal,3,3
2,1.0,1:03,Seahawks,Todd Peterson 41 yard field goal,6,3
3,2.0,13:21,Jets,Curtis Martin 1 yard rush (John Hall kick),6,10
4,2.0,3:40,Jets,John Hall 30 yard field goal,6,13
5,3.0,9:54,Seahawks,Todd Peterson 45 yard field goal,9,13
6,3.0,6:01,Jets,John Hall 31 yard field goal,9,16
7,4.0,4:21,Jets,John Hall 35 yard field goal,9,19
