,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Chester Marcol 24 yard field goal,0,3
1,1.0,Packers,Chester Marcol 42 yard field goal,0,6
2,1.0,Packers,Chester Marcol 26 yard field goal,0,9
3,2.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),0,16
4,2.0,Packers,Scott Hunter 9 yard rush (Chester Marcol kick),0,23
5,3.0,Packers,John Brockington 8 yard rush (Chester Marcol kick),0,30
6,4.0,Packers,Chester Marcol 36 yard field goal,0,33
7,4.0,Lions,Ron Jessie 29 yard pass from Bill Munson (Errol Mann kick),7,33
