,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Thurman Thomas 14 yard rush (Scott Norwood kick),0,7
1,1.0,Bills,Carwell Gardner 3 yard rush (Scott Norwood kick),0,14
2,2.0,Colts,Dean Biasucci 26 yard field goal,3,14
3,2.0,Colts,Dean Biasucci 29 yard field goal,6,14
4,2.0,Bills,Thurman Thomas 7 yard rush (Scott Norwood kick),6,21
5,2.0,Bills,Keith McKeller 5 yard pass from Frank Reich (Scott Norwood kick),6,28
6,3.0,Bills,James Lofton 11 yard pass from Frank Reich (Scott Norwood kick),6,35
7,4.0,Bills,Kenneth Davis 78 yard rush (Scott Norwood kick),6,42
