,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,3:55,Jets,Curtis Martin 1 yard rush (Doug Brien kick),7,0
1,2.0,12:53,Dolphins,Olindo Mare 36 yard field goal,7,3
2,2.0,7:40,Dolphins,Olindo Mare 37 yard field goal,7,6
3,2.0,2:10,Jets,Doug Brien 53 yard field goal,10,6
4,2.0,0:05,Dolphins,Olindo Mare 23 yard field goal,10,9
5,3.0,12:10,Jets,Donnie Abraham 66 yard interception return (Doug Brien kick),17,9
