,Quarter,Time,Tm,Detail,TAM,JAX
0,1.0,,Jaguars,Fred Taylor 6 yard rush (Mike Hollis kick),0,7
1,1.0,,Buccaneers,Michael Husted 34 yard field goal,3,7
2,2.0,,Jaguars,Fred Taylor 3 yard rush (Mike Hollis kick),3,14
3,2.0,,Buccaneers,Reidel Anthony 47 yard pass from Trent Dilfer (Michael Husted kick),10,14
4,2.0,0:27,Buccaneers,John Davis 1 yard pass from Trent Dilfer (Michael Husted kick),17,14
5,3.0,0:27,Jaguars,Mike Hollis 31 yard field goal,17,17
6,3.0,0:27,Jaguars,Mike Hollis 27 yard field goal,17,20
7,4.0,0:27,Buccaneers,Reidel Anthony 79 yard pass from Trent Dilfer (Michael Husted kick),24,20
8,4.0,0:27,Jaguars,Mike Hollis 34 yard field goal,24,23
9,4.0,2:52,Jaguars,Fred Taylor 70 yard rush (run failed),24,29
