,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Wilbert Montgomery 42 yard rush (Tony Franklin kick),0,7
1,2.0,Cowboys,Tony Dorsett 3 yard rush (Rafael Septien kick),7,7
2,3.0,Eagles,Tony Franklin 26 yard field goal,7,10
3,3.0,Eagles,Leroy Harris 9 yard rush (Tony Franklin kick),7,17
4,4.0,Eagles,Tony Franklin 20 yard field goal,7,20
