,Quarter,Tm,Detail,BUF,RAM
0,2.0,Rams,George Farmer 45 yard pass from Vince Ferragamo (Mike Lansford kick),0,7
1,2.0,Bills,Tony Hunter 15 yard pass from Joe Ferguson (Joe Danelo kick),7,7
2,2.0,Rams,Preston Dennard 11 yard pass from Vince Ferragamo (Mike Lansford kick),7,14
3,3.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),7,21
4,3.0,Bills,Byron Franklin 43 yard pass from Joe Ferguson (Joe Danelo kick),14,21
5,3.0,Rams,Mike Lansford 37 yard field goal,14,24
6,4.0,Bills,Joe Danelo 20 yard field goal,17,24
7,4.0,Rams,Preston Dennard 15 yard pass from Vince Ferragamo (Mike Lansford kick),17,31
8,4.0,Rams,Mike Lansford 49 yard field goal,17,34
9,4.0,Rams,Johnnie Johnson 60 yard interception return (Mike Lansford kick),17,41
