,Quarter,Time,Tm,Detail,CAR,SFO
0,1.0,9:26,Panthers,William Floyd 1 yard rush (Richie Cunningham kick),7,0
1,1.0,4:40,Panthers,Donald Hayes 24 yard pass from Steve Beuerlein (Richie Cunningham kick),14,0
2,2.0,8:15,Panthers,Muhsin Muhammad 3 yard pass from Steve Beuerlein (Richie Cunningham kick),21,0
3,2.0,2:16,Panthers,Tim Biakabutuka 1 yard rush (Richie Cunningham kick),28,0
4,3.0,10:40,49ers,Terry Jackson 1 yard rush (Wade Richey kick),28,7
5,3.0,6:27,Panthers,Wesley Walls 9 yard pass from Steve Beuerlein (Richie Cunningham kick),35,7
6,3.0,4:26,Panthers,Richie Cunningham 24 yard field goal,38,7
7,4.0,11:26,49ers,J.J. Stokes 17 yard pass from Rick Mirer (Wade Richey kick),38,14
8,4.0,1:44,49ers,Fred Beasley 2 yard rush (Terrell Owens pass from Rick Mirer ),38,22
