,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Tommy Davis 18 yard field goal,0,3
1,1.0,Bears,Jim Jones 45 yard pass from Rudy Bukich (Roger LeClerc kick),7,3
2,1.0,49ers,Ken Willard 57 yard pass from John Brodie (Tommy Davis kick),7,10
3,2.0,49ers,Kermit Alexander 14 yard defensive fumble return (Tommy Davis kick),7,17
4,2.0,49ers,Kermit Alexander 44 yard punt return (Tommy Davis kick),7,24
5,2.0,49ers,Al Randolph 94 yard interception return (Tommy Davis kick),7,31
6,3.0,49ers,Tommy Davis 26 yard field goal,7,34
7,3.0,49ers,Kent Kramer 24 yard pass from George Mira (Tommy Davis kick),7,41
8,4.0,Bears,Gale Sayers 2 yard rush (Roger LeClerc kick),14,41
