,Quarter,Time,Tm,Detail,DEN,TAM
0,1.0,9:22,Buccaneers,Mike Alstott 28 yard rush (Martin Gramatica kick),0,7
1,1.0,4:29,Broncos,Ed McCaffrey 12 yard pass from Brian Griese (Jason Elam kick),7,7
2,2.0,12:55,Buccaneers,Martin Gramatica 38 yard field goal,7,10
3,2.0,0:00,Buccaneers,Martin Gramatica 35 yard field goal,7,13
4,4.0,14:04,Broncos,Jason Elam 44 yard field goal,10,13
