,Quarter,Tm,Detail,CIN,HOU
0,1.0,Oilers,Roy Gerela 46 yard field goal,0,3
1,2.0,Bengals,Horst Muhlmann 25 yard field goal,3,3
2,2.0,Bengals,Horst Muhlmann 25 yard field goal,6,3
3,2.0,Oilers,Roy Gerela 31 yard field goal,6,6
4,3.0,Oilers,Charlie Joiner 87 yard pass from Jerry Rhome (Roy Gerela kick),6,13
5,3.0,Bengals,Al Beauchamp 25 yard defensive fumble return (Horst Muhlmann kick),13,13
6,3.0,Bengals,Essex Johnson 15 yard rush (Horst Muhlmann kick),20,13
7,4.0,Bengals,Essex Johnson 49 yard pass from Virgil Carter (Horst Muhlmann kick),27,13
8,4.0,Bengals,Horst Muhlmann 30 yard field goal,30,13
9,4.0,Oilers,Charlie Joiner 4 yard pass from Jerry Rhome (Roy Gerela kick),30,20
