,Quarter,Tm,Detail,CLE,CRD
0,2.0,Cardinals,Ernie Nevers 2 yard rush (Ernie Nevers kick),0,7
1,2.0,Cardinals,Ernie Nevers 1 yard rush (Ernie Nevers kick),0,14
2,4.0,Cardinals,Les Molloy 44 yard pass from Ernie Nevers (Ernie Nevers kick),0,21
