,Quarter,Time,Tm,Detail,JAX,CIN
0,2.0,,Jaguars,Mark Brunell 14 yard rush (Mike Hollis kick),7,0
1,2.0,,Bengals,Carl Pickens 11 yard pass from Jeff Blake (Doug Pelfrey kick),7,7
2,3.0,,Jaguars,Natrone Means 8 yard pass from Mark Brunell (Mike Hollis kick),14,7
3,4.0,2:41,Bengals,Carl Pickens 10 yard pass from Jeff Blake (Doug Pelfrey kick),14,14
4,4.0,2:41,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),14,21
5,4.0,2:41,Bengals,Ki-Jana Carter 4 yard rush (Doug Pelfrey kick),14,28
6,4.0,2:41,Jaguars,Jimmy Smith 11 yard pass from Mark Brunell (Mike Hollis kick),21,28
