,Quarter,Tm,Detail,DEN,GNB
0,1.0,Packers,Brent Fullwood 2 yard rush (Al Del Greco kick),0,7
1,2.0,Packers,Paul Ott Carruth 7 yard pass from Don Majkowski (Al Del Greco kick),0,14
2,2.0,Broncos,Rich Karlis 38 yard field goal,3,14
3,3.0,Broncos,Gene Lang 3 yard rush (Rich Karlis kick),10,14
4,4.0,Packers,Al Del Greco 32 yard field goal,10,17
5,4.0,Broncos,Steve Sewell 2 yard rush (Rich Karlis kick),17,17
