,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,3:15,Cardinals,Chris Jacke 44 yard field goal,0,3
1,2.0,7:50,Redskins,Brett Conway 36 yard field goal,3,3
2,2.0,3:33,Redskins,Champ Bailey 59 yard interception return (Brett Conway kick),10,3
3,3.0,1:20,Redskins,Stephen Alexander 1 yard pass from Brad Johnson (Brett Conway kick),17,3
4,4.0,6:59,Cardinals,Rob Moore 10 yard pass from Dave Brown (Chris Jacke kick),17,10
5,4.0,2:03,Redskins,Skip Hicks 14 yard rush (Brett Conway kick),24,10
