,Quarter,Tm,Detail,CRD,CHI
0,2.0,Bears,Johnny Lujack 1 yard rush (Johnny Lujack kick),0,7
1,2.0,Bears,Johnny Lujack 32 yard rush (Johnny Lujack kick),0,14
2,3.0,Cardinals,Bob Shaw 21 yard pass from Jim Hardy,6,14
3,3.0,Bears,Al Campana 1 yard rush,6,20
4,4.0,Bears,Julie Rykovich 3 yard rush (Johnny Lujack kick),6,27
