,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Roger Ruzek 22 yard field goal,3,0
1,1.0,Redskins,Chip Lohmiller 41 yard field goal,3,3
2,2.0,Cowboys,Michael Irvin 24 yard pass from Steve Pelluer (Roger Ruzek kick),10,3
3,3.0,Cowboys,Michael Irvin 61 yard pass from Steve Pelluer (Roger Ruzek kick),17,3
4,3.0,Redskins,Ricky Sanders 40 yard pass from Doug Williams (Chip Lohmiller kick),17,10
5,3.0,Redskins,Terry Orr 50 yard pass from Mark Rypien (Chip Lohmiller kick),17,17
6,4.0,Cowboys,Michael Irvin 12 yard pass from Steve Pelluer (Roger Ruzek kick),24,17
