,Quarter,Tm,Detail,CHI,CRD
0,1,Cardinals,Paddy Driscoll unknown yard field goal,0,3
1,2,Cardinals,Paddy Driscoll unknown yard field goal,0,6
2,3,Cardinals,Paddy Driscoll unknown yard field goal,0,9
