,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Patriots,Bob Windsor 22 yard pass from Jim Plunkett,6,0
1,1.0,Jets,John Riggins 1 yard rush (Bobby Howfield kick),6,7
2,2.0,Jets,Emerson Boozer 17 yard rush (Bobby Howfield kick),6,14
3,2.0,Jets,Bobby Howfield 44 yard field goal,6,17
4,2.0,Jets,Bobby Howfield 22 yard field goal,6,20
5,3.0,Jets,Bobby Howfield 28 yard field goal,6,23
6,4.0,Jets,Jerome Barkum 31 yard pass from Bill Demory (Bobby Howfield kick),6,30
7,4.0,Patriots,Bob Windsor 21 yard pass from Jim Plunkett (Jeff White kick),13,30
8,4.0,Jets,Bobby Howfield 39 yard field goal,13,33
