,Quarter,Tm,Detail,BKN,NYG
0,1.0,Giants,Ken Strong 24 yard rush (Ken Strong kick),0,7
1,4.0,Giants,Ken Strong 24 yard field goal,0,10
2,4.0,Dodgers,Ray Fuqua 4 yard pass from Wilbur White (Ralph Kercheval kick),7,10
