,Quarter,Time,Tm,Detail,ATL,DEN
0,1.0,,Broncos,Reggie Rivers 1 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Jason Elam 35 yard field goal,0,10
2,2.0,,Falcons,Craig Heyward 6 yard pass from Jeff George (Norm Johnson kick),7,10
3,2.0,,Falcons,Bert Emanuel 11 yard pass from Jeff George (Norm Johnson kick),14,10
4,3.0,,Broncos,Jeff Campbell 22 yard pass from John Elway (Jason Elam kick),14,17
5,3.0,,Falcons,Terance Mathis 47 yard pass from Jeff George (Norm Johnson kick),21,17
6,4.0,14:25,Falcons,Terance Mathis 49 yard pass from Jeff George (Norm Johnson kick),28,17
7,4.0,14:25,Broncos,Anthony Miller 32 yard pass from John Elway (Anthony Miller pass from John Elway),28,25
8,4.0,14:25,Broncos,John Elway 4 yard rush (Jason Elam kick),28,32
