,Quarter,Time,Tm,Detail,TAM,PHI
0,1.0,,Eagles,Gary Anderson 21 yard field goal,0,3
1,1.0,,Buccaneers,Horace Copeland 64 yard pass from Trent Dilfer (Michael Husted kick),7,3
2,1.0,,Eagles,Gary Anderson 28 yard field goal,7,6
3,4.0,,Buccaneers,Jackie Harris 10 yard pass from Trent Dilfer (Michael Husted kick),14,6
4,4.0,,Buccaneers,Errict Rhett 19 yard rush (Michael Husted kick),21,6
