,Quarter,Time,Tm,Detail,CIN,SEA
0,1.0,13:31,Seahawks,Bobby Engram 18 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
1,1.0,6:18,Bengals,T.J. Houshmandzadeh 35 yard pass from Carson Palmer (Shayne Graham kick),7,7
2,2.0,10:20,Bengals,Shayne Graham 43 yard field goal,10,7
3,2.0,2:06,Seahawks,Deion Branch 42 yard pass from Matt Hasselbeck (Josh Brown kick),10,14
4,3.0,11:19,Bengals,"Safety,",12,14
5,4.0,9:57,Bengals,Shayne Graham 24 yard field goal,15,14
6,4.0,6:00,Seahawks,Josh Brown 23 yard field goal,15,17
7,4.0,2:42,Bengals,Kenny Watson 8 yard rush (run failed),21,17
8,4.0,1:00,Seahawks,Nate Burleson 22 yard pass from Matt Hasselbeck (Josh Brown kick),21,24
