,Quarter,Tm,Detail,MIA,CLE
0,2.0,Browns,Paul Warfield 12 yard pass from Brian Sipe (Don Cockroft kick),0,7
1,2.0,Dolphins,Larry Seiple 4 yard pass from Bob Griese,6,7
2,3.0,Browns,Reggie Rucker 18 yard pass from Brian Sipe (Don Cockroft kick),6,14
3,4.0,Dolphins,Freddie Solomon 9 yard pass from Bob Griese (Garo Yepremian kick),13,14
4,4.0,Browns,Don Cockroft 19 yard field goal,13,17
