,Quarter,Time,Tm,Detail,NOR,DEN
0,1.0,4:39,Broncos,Willis McGahee 1 yard rush (Matt Prater kick),0,7
1,2.0,14:53,Saints,Darren Sproles 29 yard pass from Drew Brees (Garrett Hartley kick),7,7
2,2.0,6:43,Broncos,Eric Decker 13 yard pass from Peyton Manning (Matt Prater kick),7,14
3,2.0,0:00,Broncos,Matt Prater 33 yard field goal,7,17
4,3.0,9:30,Broncos,Demaryius Thomas 1 yard pass from Peyton Manning (Matt Prater kick),7,24
5,4.0,14:54,Broncos,Eric Decker 2 yard pass from Peyton Manning (Matt Prater kick),7,31
6,4.0,5:27,Broncos,Matt Prater 33 yard field goal,7,34
7,4.0,2:03,Saints,Jimmy Graham 18 yard pass from Drew Brees (Garrett Hartley kick),14,34
