,Quarter,Time,Tm,Detail,DET,MIN
0,1,,Vikings,Fuad Reveiz 36 yard field goal,0,3
1,2,,Vikings,Qadry Ismail 30 yard pass from Warren Moon (Fuad Reveiz kick),0,10
2,4,,Lions,Jason Hanson 24 yard field goal,3,10
