,Quarter,Tm,Detail,OAK,NOR
0,2.0,Raiders,Fred Biletnikoff 42 yard pass from Daryle Lamonica (George Blanda kick),7,0
1,3.0,Raiders,Pete Banaszak 4 yard rush (George Blanda kick),14,0
2,3.0,Saints,Jim Strong 10 yard rush (Charlie Durkee kick),14,7
3,4.0,Raiders,Fred Biletnikoff 20 yard pass from Daryle Lamonica (George Blanda kick),21,7
4,4.0,Saints,Bob Gresham 2 yard rush (Charlie Durkee kick),21,14
5,4.0,Saints,Dave Parks 10 yard pass from Edd Hargett (Charlie Durkee kick),21,21
