,Quarter,Tm,Detail,MIN,PHI
0,1.0,Vikings,Fuad Reveiz 32 yard field goal,3,0
1,1.0,Eagles,Randall Cunningham 1 yard rush (Roger Ruzek kick),3,7
2,2.0,Vikings,Terry Allen 3 yard rush (Fuad Reveiz kick),10,7
3,2.0,Eagles,Heath Sherman 1 yard rush (Roger Ruzek kick),10,14
4,3.0,Eagles,Randall Cunningham 1 yard rush (Roger Ruzek kick),10,21
5,4.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),17,21
6,4.0,Eagles,Seth Joyner 24 yard interception return (Roger Ruzek kick),17,28
