,Quarter,Tm,Detail,NWE,IND
0,1.0,Patriots,Sammy Martin 95 yard kickoff return (Jason Staurovsky kick),7,0
1,1.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),7,7
2,2.0,Patriots,Bob Perryman 1 yard rush (Jason Staurovsky kick),14,7
3,2.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),14,14
4,4.0,Patriots,Mosi Tatupu 1 yard rush (Jason Staurovsky kick),21,14
5,4.0,Colts,Mark Boyer 18 yard pass from Chris Chandler (Dean Biasucci kick),21,21
6,4.0,Colts,Dean Biasucci 28 yard field goal,21,24
