,Quarter,Tm,Detail,BAL,ATL
0,1.0,Colts,Ray Perkins 9 yard pass from Earl Morrall (Lou Michaels kick),7,0
1,1.0,Colts,John Mackey 13 yard pass from Earl Morrall (Lou Michaels kick),14,0
2,1.0,Falcons,Bob Long 71 yard pass from Randy Johnson (Bob Etter kick),14,7
3,2.0,Falcons,Bob Etter 14 yard field goal,14,10
4,2.0,Colts,Jimmy Orr 46 yard pass from Earl Morrall (Lou Michaels kick),21,10
5,3.0,Falcons,Bob Etter 24 yard field goal,21,13
6,4.0,Falcons,Randy Johnson 1 yard rush (Bob Etter kick),21,20
7,4.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),28,20
