,Quarter,Time,Tm,Detail,SFO,STL
0,1.0,14:29,49ers,Fred Beasley 29 yard pass from Jeff Garcia (Wade Richey kick),7,0
1,1.0,11:00,Rams,Jeff Wilkins 47 yard field goal,7,3
2,2.0,10:45,49ers,Wade Richey 21 yard field goal,10,3
3,2.0,5:09,Rams,Tony Horne 18 yard pass from Kurt Warner (Jeff Wilkins kick),10,10
4,2.0,2:14,49ers,Charlie Garner 20 yard pass from Jeff Garcia (Wade Richey kick),17,10
5,2.0,1:53,Rams,Isaac Bruce 78 yard pass from Kurt Warner (Jeff Wilkins kick),17,17
6,3.0,8:28,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),17,24
7,4.0,14:57,Rams,Jeff Wilkins 25 yard field goal,17,27
8,4.0,12:02,49ers,Terrell Owens 12 yard pass from Jeff Garcia (Wade Richey kick),24,27
9,4.0,7:39,Rams,Marshall Faulk 4 yard rush (Jeff Wilkins kick),24,34
10,4.0,1:42,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),24,41
