,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Anthony Carter 47 yard pass from Rich Gannon (Fuad Reveiz kick),0,7
1,1.0,Vikings,Hassan Jones 43 yard pass from Rich Gannon (Fuad Reveiz kick),0,14
2,1.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),0,21
3,2.0,Vikings,Fuad Reveiz 20 yard field goal,0,24
4,2.0,Lions,Barry Sanders 11 yard rush (Jason Hanson kick),7,24
5,4.0,Vikings,Cris Carter 29 yard pass from Sean Salisbury (Fuad Reveiz kick),7,31
6,4.0,Lions,Herman Moore 47 yard pass from Erik Kramer (Jason Hanson kick),14,31
