,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Tony Hill 18 yard pass from Roger Staubach,0,6
1,2.0,Cowboys,Tony Dorsett 3 yard pass from Roger Staubach (Rafael Septien kick),0,13
2,2.0,Rams,Frank Corral 42 yard field goal,3,13
3,2.0,Rams,Frank Corral 41 yard field goal,6,13
4,3.0,Cowboys,Jay Saldi 23 yard pass from Roger Staubach (Rafael Septien kick),6,20
5,3.0,Cowboys,Rafael Septien 32 yard field goal,6,23
6,3.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),6,30
