,Quarter,Tm,Detail,SFO,CLE
0,1.0,49ers,Mike Cofer 46 yard field goal,3,0
1,1.0,Browns,Matt Stover 47 yard field goal,3,3
2,1.0,49ers,Mike Cofer 28 yard field goal,6,3
3,2.0,Browns,James Jones 1 yard rush (Matt Stover kick),6,10
4,2.0,Browns,Matt Stover 41 yard field goal,6,13
5,2.0,49ers,Marc Logan 4 yard rush (Mike Cofer kick),13,13
6,2.0,Browns,Michael Jackson 30 yard pass from Bernie Kosar (Matt Stover kick),13,20
7,3.0,Browns,Matt Stover 33 yard field goal,13,23
