,Quarter,Tm,Detail,ATL,PIT
0,1.0,Falcons,Greg Davis 41 yard field goal,3,0
1,1.0,Falcons,Greg Davis 43 yard field goal,6,0
2,2.0,Falcons,Greg Davis 38 yard field goal,9,0
3,3.0,Steelers,Louis Lipps 11 yard pass from Bubby Brister (Gary Anderson kick),9,7
4,4.0,Steelers,Mike Mularkey 19 yard pass from Bubby Brister (Gary Anderson kick),9,14
5,4.0,Steelers,Warren Williams 70 yard rush (Gary Anderson kick),9,21
