,Quarter,Time,Tm,Detail,CHI,CAR
0,1.0,14:13,Bears,Dez White 76 yard pass from Chris Chandler (Paul Edinger kick),7,0
1,2.0,12:12,Panthers,Dee Brown 2 yard rush (Shayne Graham kick),7,7
2,2.0,8:38,Panthers,Dee Brown 1 yard rush (Shayne Graham kick),7,14
3,2.0,3:52,Panthers,Muhsin Muhammad 3 yard pass from Rodney Peete (Shayne Graham kick),7,21
4,4.0,11:48,Bears,Dez White 5 yard pass from Henry Burris (Paul Edinger kick),14,21
5,4.0,5:16,Panthers,Shayne Graham 25 yard field goal,14,24
