,Quarter,Tm,Detail,TAM,DET
0,1.0,Buccaneers,Ken Willis 42 yard field goal,3,0
1,2.0,Lions,Jason Hanson 42 yard field goal,3,3
2,2.0,Buccaneers,Reggie Cobb 1 yard rush (Ken Willis kick),10,3
3,3.0,Lions,Jeff Campbell 78 yard pass from Rodney Peete (Jason Hanson kick),10,10
4,3.0,Lions,Jason Hanson 35 yard field goal,10,13
5,3.0,Lions,Jason Hanson 36 yard field goal,10,16
6,4.0,Buccaneers,Ken Willis 31 yard field goal,13,16
7,4.0,Buccaneers,Santana Dotson 42 yard defensive fumble return (Ken Willis kick),20,16
8,4.0,Lions,Mel Gray 89 yard kickoff return (Jason Hanson kick),20,23
9,4.0,Buccaneers,Ron Hall 14 yard pass from Vinny Testaverde (Ken Willis kick),27,23
