,Quarter,Tm,Detail,GNB,CRD
0,1.0,Cards/Steelers,Bob Thurbon 1 yard rush (Conway Baker kick),0,7
1,1.0,Packers,Paul Duhart 1 yard rush (Don Hutson kick),7,7
2,2.0,Packers,Paul Duhart 11 yard rush (Don Hutson kick),14,7
3,2.0,Cards/Steelers,Bob Thurbon 37 yard pass from John Grigas,14,13
4,3.0,Packers,Don Hutson 36 yard pass from Irv Comp (Don Hutson kick),21,13
5,4.0,Packers,Don Hutson 6 yard pass from Irv Comp (Don Hutson kick),28,13
6,4.0,Packers,Don Perkins 40 yard interception return (Don Hutson kick),35,13
7,4.0,Cards/Steelers,Don Currivan 72 yard pass from John Grigas (Conway Baker kick),35,20
