,Quarter,Tm,Detail,DAL,PIT
0,1.0,Cowboys,Frank Clarke 5 yard pass from Don Meredith (Sam Baker kick),7,0
1,2.0,Cowboys,Lee Folkins 35 yard pass from Don Meredith (Sam Baker kick),14,0
2,2.0,Steelers,Buddy Dial 83 yard pass from Ed Brown,14,6
3,3.0,Cowboys,Billy Howton 13 yard pass from Don Meredith (Sam Baker kick),21,6
4,3.0,Steelers,Buddy Dial 25 yard pass from Ed Brown (Tom Tracy kick),21,13
5,4.0,Steelers,Buddy Dial 14 yard pass from Ed Brown (Tom Tracy kick),21,20
6,4.0,Steelers,Red Mack 85 yard pass from Ed Brown (Lou Michaels kick),21,27
