,Quarter,Time,Tm,Detail,NYG,MIN
0,1.0,6:10,Giants,Charles Stackhouse 1 yard pass from Kerry Collins (Matt Bryant kick),7,0
1,2.0,12:36,Vikings,Gary Anderson 20 yard field goal,7,3
2,2.0,8:48,Giants,Ron Dayne 30 yard rush (run failed),13,3
3,3.0,9:11,Vikings,Gary Anderson 27 yard field goal,13,6
4,3.0,0:22,Giants,Amani Toomer 11 yard pass from Kerry Collins (Matt Bryant kick failed),19,6
5,4.0,12:06,Vikings,Moe Williams 1 yard rush (Gary Anderson kick),19,13
6,4.0,8:36,Vikings,Michael Bennett 78 yard rush (Gary Anderson kick),19,20
7,4.0,2:43,Giants,Tiki Barber 8 yard rush (Marcellus Rivers pass from Kerry Collins),27,20
