,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Bobby Walston 32 yard field goal,3,0
1,2.0,Eagles,Pete Retzlaff 22 yard pass from Norm Van Brocklin (Bobby Walston kick),10,0
2,3.0,Eagles,Bobby Walston 39 yard field goal,13,0
3,3.0,Cardinals,Mal Hammack 2 yard rush,13,6
4,4.0,Eagles,Tommy McDonald 25 yard pass from Norm Van Brocklin (Bobby Walston kick),20,6
