,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Fred Cone 20 yard field goal,3,0
1,1.0,49ers,Gordie Soltau 23 yard field goal,3,3
2,2.0,Packers,Fred Cone 37 yard field goal,6,3
3,2.0,49ers,Joe Arenas 7 yard rush (Gordie Soltau kick),6,10
4,2.0,Packers,Ray Pelfrey 3 yard pass from Tobin Rote (Fred Cone kick),13,10
5,3.0,49ers,Joe Arenas 1 yard rush (Gordie Soltau kick),13,17
6,3.0,Packers,Carl Elliott 11 yard pass from Tobin Rote,19,17
7,4.0,49ers,Jim Monachino 3 yard rush (Gordie Soltau kick),19,24
8,4.0,49ers,Gordie Soltau 9 yard pass from Frankie Albert (Gail Bruce pass from Frankie Albert ),19,31
